title,author,rating,image,url
오늘또오늘,희나리,9.51,https://image-comic.pstatic.net/webtoon/773642/thumbnail/thumbnail_IMAG21_3762812697070481975.jpg,/webtoon/list?titleId=773642
토끼대왕,김숭늉,9.92,https://image-comic.pstatic.net/webtoon/742826/thumbnail/thumbnail_IMAG21_4135537247560229219.jpg,/webtoon/list?titleId=742826
복학생 정순이,한짜장,9.96,https://image-comic.pstatic.net/webtoon/735243/thumbnail/thumbnail_IMAG21_3834311717759771702.jpg,/webtoon/list?titleId=735243
살人스타그램,령,9.61,https://image-comic.pstatic.net/webtoon/726095/thumbnail/thumbnail_IMAG21_3904963066493809207.jpg,/webtoon/list?titleId=726095
당신의 향수,호우,9.98,https://image-comic.pstatic.net/webtoon/741150/thumbnail/thumbnail_IMAG21_7219380377984643939.jpg,/webtoon/list?titleId=741150
스몰,을승,9.91,https://image-comic.pstatic.net/webtoon/745236/thumbnail/thumbnail_IMAG21_3832617370274653284.jpg,/webtoon/list?titleId=745236
도를 아십니까,이건 / 요엘,9.91,https://image-comic.pstatic.net/webtoon/747666/thumbnail/thumbnail_IMAG21_4064043678008816226.jpg,/webtoon/list?titleId=747666
불티,박시현 / 오른손,9.73,https://image-comic.pstatic.net/webtoon/772002/thumbnail/thumbnail_IMAG21_3630245675245320034.jpg,/webtoon/list?titleId=772002
제7원,남정훈 / 김태헌,9.60,https://image-comic.pstatic.net/webtoon/772004/thumbnail/thumbnail_IMAG21_4135260372426056500.jpg,/webtoon/list?titleId=772004
DEY 호러채널(일반판),DEY,9.83,https://image-comic.pstatic.net/webtoon/774762/thumbnail/thumbnail_IMAG21_3545235829967632689.jpg,/webtoon/list?titleId=774762
당신의 과녁,고태호,9.96,https://image-comic.pstatic.net/webtoon/738194/thumbnail/thumbnail_IMAG21_3918801515442693430.jpg,/webtoon/list?titleId=738194
늑대가 되는 법,김민희,9.89,https://image-comic.pstatic.net/webtoon/771993/thumbnail/thumbnail_IMAG21_3977584680703899494.jpg,/webtoon/list?titleId=771993
흥부놀부전,황동,9.77,https://image-comic.pstatic.net/webtoon/772001/thumbnail/thumbnail_IMAG21_3546079138997680437.jpg,/webtoon/list?titleId=772001
죽여주는 탐정님,뻥 / 조은,9.90,https://image-comic.pstatic.net/webtoon/744313/thumbnail/thumbnail_IMAG21_3617571798083058021.jpg,/webtoon/list?titleId=744313
셈하는 사이,면지,9.97,https://image-comic.pstatic.net/webtoon/738173/thumbnail/thumbnail_IMAG21_3703759002022525235.jpg,/webtoon/list?titleId=738173
"소년, 남자의 이름으로",수진,9.84,https://image-comic.pstatic.net/webtoon/771990/thumbnail/thumbnail_IMAG21_4050198622538720055.jpg,/webtoon/list?titleId=771990
줄라이 블루,신건우,7.15,https://image-comic.pstatic.net/webtoon/771992/thumbnail/thumbnail_IMAG21_4135824228771652196.jpg,/webtoon/list?titleId=771992
하슬라,까를로스 / 유상진,9.90,https://image-comic.pstatic.net/webtoon/730391/thumbnail/thumbnail_IMAG21_3918520023352697698.jpg,/webtoon/list?titleId=730391
감히,희나리,9.91,https://image-comic.pstatic.net/webtoon/738177/thumbnail/thumbnail_IMAG21_3846971490381095522.jpg,/webtoon/list?titleId=738177
인터셉트,임주이 / 우지혜,9.94,https://image-comic.pstatic.net/webtoon/747961/thumbnail/thumbnail_IMAG21_7306587056954029877.jpg,/webtoon/list?titleId=747961
별종,이무기,9.94,https://image-comic.pstatic.net/webtoon/738144/thumbnail/thumbnail_IMAG21_7005179227217147490.jpg,/webtoon/list?titleId=738144
지금은 삽질 중,자유,9.90,https://image-comic.pstatic.net/webtoon/771988/thumbnail/thumbnail_IMAG21_3978710790323122999.jpg,/webtoon/list?titleId=771988
알바걸과 워킹맨,수진,9.82,https://image-comic.pstatic.net/webtoon/771989/thumbnail/thumbnail_IMAG21_7234244692860494180.jpg,/webtoon/list?titleId=771989
피플,서승준 / 손창균,9.82,https://image-comic.pstatic.net/webtoon/706590/thumbnail/thumbnail_IMAG21_7233734503110556001.jpg,/webtoon/list?titleId=706590
뱀파이어의 꽃,카나리아 / 동물 / 하야시,9.87,https://image-comic.pstatic.net/webtoon/721455/thumbnail/thumbnail_IMAG21_3487300569401942371.jpg,/webtoon/list?titleId=721455
인간의 온도,이재익 / 양세준,9.91,https://image-comic.pstatic.net/webtoon/733770/thumbnail/thumbnail_IMAG21_3833462911963313971.jpg,/webtoon/list?titleId=733770
